Timestamp
3/12/2017 18:50:08
3/12/2017 18:50:19
3/12/2017 18:50:22
3/12/2017 18:50:34
3/12/2017 18:50:37
3/12/2017 18:52:41
3/12/2017 18:53:19
3/12/2017 18:53:35
3/12/2017 18:53:46
3/12/2017 18:54:02
3/12/2017 18:57:28
3/12/2017 18:57:29
3/12/2017 18:57:53
3/12/2017 18:58:03
3/12/2017 18:59:27
3/12/2017 19:04:05
3/12/2017 19:04:34
3/12/2017 19:04:55
3/12/2017 19:06:43
3/12/2017 19:08:45
3/12/2017 19:09:51
3/12/2017 19:12:21
3/12/2017 19:17:40
3/12/2017 19:19:09
3/12/2017 19:24:15
3/12/2017 19:25:06
3/12/2017 19:25:48
3/12/2017 19:27:41
3/12/2017 19:28:40
3/12/2017 19:35:45
3/12/2017 19:40:34
3/12/2017 19:40:51
3/12/2017 19:47:49
3/12/2017 19:48:37
3/12/2017 19:57:18
3/12/2017 20:06:43
3/12/2017 20:07:03
3/12/2017 20:10:29
3/12/2017 20:10:52
3/12/2017 20:10:57
3/12/2017 20:17:05
3/12/2017 20:19:03
3/12/2017 20:23:37
3/12/2017 20:28:13
3/12/2017 20:32:24
3/12/2017 20:34:25
3/12/2017 20:45:31
3/12/2017 20:47:07
3/12/2017 21:07:05
3/12/2017 21:14:20
3/12/2017 21:23:31
3/12/2017 21:33:49
3/12/2017 21:41:16
3/12/2017 21:50:53
3/12/2017 21:57:54
3/12/2017 22:30:24
3/12/2017 22:40:24
3/12/2017 22:41:57
3/12/2017 23:04:41
3/12/2017 23:13:12
3/12/2017 23:17:32
3/12/2017 23:50:46
3/13/2017 6:17:31
3/13/2017 7:34:10
3/13/2017 9:12:33
3/13/2017 9:51:16
3/13/2017 9:52:09
3/13/2017 12:27:09
3/13/2017 16:00:44
3/13/2017 18:08:20
3/13/2017 21:37:32
---
What grade are you currently in?
10th Grade
11th Grade
11th Grade
10th Grade
11th Grade
12th Grade
12th Grade
11th Grade
10th Grade
12th Grade
12th Grade
11th Grade
10th Grade
11th Grade
12th Grade
12th Grade
12th Grade
10th Grade
11th Grade
10th Grade
9th Grade
9th Grade
12th Grade
10th Grade
12th Grade
11th Grade
10th Grade
9th Grade
9th Grade
10th Grade
12th Grade
10th Grade
11th Grade
12th Grade
9th Grade
12th Grade
12th Grade
12th Grade
11th Grade
10th Grade
9th Grade
11th Grade
9th Grade
12th Grade
10th Grade
11th Grade
12th Grade
11th Grade
11th Grade
12th Grade
9th Grade
12th Grade
9th Grade
11th Grade
9th Grade
11th Grade
9th Grade
12th Grade
10th Grade
11th Grade
9th Grade
9th Grade
11th Grade
11th Grade
12th Grade
12th Grade
12th Grade
10th Grade
9th Grade
10th Grade
9th Grade
---
How many years have you attended Avenues? (Include current year)
Two Years
Four Years
Five Years
Five Years
Five Years
Four Years
Four Years
Four Years
Three Years
Five Years
Four Years
Four Years
Two Years
Three Years
Three Years
Two Years
Five Years
Two Years
Three Years
Four Years
One Year
One Year
Four Years
Five Years
Three Years
Four Years
Two Years
Four Years
Five Years
Four Years
Five Years
Two Years
Five Years
Five Years
Five Years
Four Years
Three Years
Four Years
Four Years
Five Years
Four Years
Four Years
One Year
Five Years
Two Years
Five Years
Two Years
Three Years
Four Years
Three Years
Two Years
Three Years
One Year
Three Years
One Year
Three Years
One Year
Four Years
Two Years
Four Years
Four Years
Five Years
Three Years
Four Years
Five Years
Four Years
Five Years
Five Years
Four Years
Five Years
Five Years
---
What is your preferred gender identity?
Female
Apache Helicopter
Male
Female
Female
Female
Male
Male
Female
Female
Female
Male
Male
Female
Female
Male
Female
Female
Female
Female
Female
Male
Female
Female
Female
Female
Female
Male
Female
Female
Female
Female
Male
Male
Female
Male
Female
Male
Female
Male
Female
horse
Female
Male
Male
Female
Female
Female
Female
Male
Female
Female
Female
Male
Female
Male
Female
Male
Female
Male
Male
Male
Male
Male
Female
Male
Male
Male
Male
Male
Male
---
Would you classify yourself as a stem person or a humanities person?
Both
STEM
Both
Humanities
Neither
Both
Both
Both
Humanities
Both
Humanities
STEM
Neither
Both
Both
Both
Humanities
STEM
Both
Humanities
Neither
Both
Humanities
STEM
Both
STEM
STEM
STEM
Both
Humanities
STEM
Both
Humanities
STEM
Humanities
Both
STEM
STEM
STEM
Both
STEM
STEM
Neither
Both
Humanities
Both
Neither
Both
Both
Both
Both
Both
Humanities
STEM
STEM
Both
Both
STEM
STEM
Both
STEM
Both
Both
Humanities
STEM
Both
Humanities
Both
Neither
Both
STEM
---
How do you feel when you're at school? [Tired]
Sometimes
Always
Sometimes
Always
Always
Always
Often
Often
Sometimes
Always
Often
Sometimes
Always
Always
Always
